Ligando,Pose,Vina_score,Intramol,CNNscore,CNNaffinity
ligando_474,1,-9.37,0.42,0.7065,6.631
ligando_475,1,-8.86,-0.43,0.6686,6.679
ligando_476,1,-7.78,-0.59,0.7483,6.05
ligando_477,1,-10.93,0.75,0.4124,6.778
ligando_478,1,-10.76,0.81,0.2111,6.684
ligando_479,1,-6.91,-0.09,0.7921,5.398
ligando_480,1,-8.8,-0.34,0.2619,5.63
ligando_481,1,-9.24,0.41,0.2911,6.319
ligando_482,1,-9.62,-0.15,0.7669,7.246
ligando_483,1,-8.91,-0.58,0.5754,6.187
ligando_484,1,-6.89,0.05,0.5596,5.899
ligando_485,1,-9.19,-0.29,0.3902,6.424
ligando_486,1,-9.84,0.65,0.4579,7.221
ligando_487,1,-8.48,-0.21,0.328,6.522
ligando_488,1,-8.94,-0.01,0.1486,6.128
ligando_489,1,-10.08,-0.45,0.4523,7.104
ligando_490,1,-8.58,0.06,0.8435,6.713
ligando_491,1,-8.66,0.01,0.8003,6.885
ligando_492,1,-8.47,-0.66,0.1761,5.304
ligando_493,1,-9.64,-0.59,0.2008,5.899
ligando_494,1,-11.04,0.1,0.3426,6.66
ligando_495,2,-8.45,-0.75,0.4902,6.013
ligando_496,1,-9.29,-0.37,0.2453,6.191
ligando_497,1,-10.26,-0.58,0.233,6.316
ligando_498,1,-9.65,-0.1,0.2237,6.284
ligando_499,1,-7.6,-0.26,0.2995,5.078
ligando_500,1,-7.25,-0.35,0.3716,5.232
ligando_501,1,-7.64,1.1,0.6153,6.51
ligando_502,1,-9.62,-0.37,0.5683,6.924
ligando_503,1,-7.39,-0.33,0.9232,5.697
ligando_504,1,-1.75,0.01,0.708,5.29
ligando_505,1,-1.85,-0.51,0.4088,5.263
ligando_506,1,-9.05,-0.27,0.6118,7.151
ligando_507,1,-8.57,-0.3,0.405,5.956
ligando_508,1,-8.99,1.47,0.4127,6.279
ligando_509,1,-8.9,-0.34,0.3217,5.955
